"area_name","area_code","date","new_cases","total_cases"
"Sutton","E09000029",2020-05-16,1,899
"Tower Hamlets","E09000030",2020-05-16,0,723
"Waltham Forest","E09000031",2020-05-16,2,921
"Wandsworth","E09000032",2020-05-16,1,1081
"Westminster","E09000033",2020-05-16,0,707
"Barking and Dagenham","E09000002",2020-05-17,1,639
"Barnet","E09000003",2020-05-17,6,1481
"Bexley","E09000004",2020-05-17,6,930
"Brent","E09000005",2020-05-17,3,1595
"Bromley","E09000006",2020-05-17,2,1440
"Camden","E09000007",2020-05-17,0,657
"Croydon","E09000008",2020-05-17,2,1731
"Ealing","E09000009",2020-05-17,2,1393
"Enfield","E09000010",2020-05-17,10,1091
"Greenwich","E09000011",2020-05-17,2,863
"Hackney and City of London","E09000012",2020-05-17,1,744
"Hammersmith and Fulham","E09000013",2020-05-17,1,687
"Haringey","E09000014",2020-05-17,1,695
"Harrow","E09000015",2020-05-17,4,1191
"Havering","E09000016",2020-05-17,3,855
"Hillingdon","E09000017",2020-05-17,2,979
"Hounslow","E09000018",2020-05-17,4,934
"Islington","E09000019",2020-05-17,2,503
"Kensington and Chelsea","E09000020",2020-05-17,2,518
"Kingston upon Thames","E09000021",2020-05-17,0,671
"Lambeth","E09000022",2020-05-17,0,1289
"Lewisham","E09000023",2020-05-17,1,1125
"Merton","E09000024",2020-05-17,4,844
"Newham","E09000025",2020-05-17,7,1155
"Redbridge","E09000026",2020-05-17,4,985
"Richmond upon Thames","E09000027",2020-05-17,1,486
"Southwark","E09000028",2020-05-17,0,1379
"Sutton","E09000029",2020-05-17,0,899
"Tower Hamlets","E09000030",2020-05-17,1,724
"Waltham Forest","E09000031",2020-05-17,4,925
"Wandsworth","E09000032",2020-05-17,2,1083
"Westminster","E09000033",2020-05-17,1,708
"Barking and Dagenham","E09000002",2020-05-18,2,641
"Barnet","E09000003",2020-05-18,9,1490
"Bexley","E09000004",2020-05-18,8,938
"Brent","E09000005",2020-05-18,5,1600
"Bromley","E09000006",2020-05-18,6,1446
"Camden","E09000007",2020-05-18,2,659
"Croydon","E09000008",2020-05-18,5,1736
"Ealing","E09000009",2020-05-18,4,1397
"Enfield","E09000010",2020-05-18,6,1097
"Greenwich","E09000011",2020-05-18,5,868
"Hackney and City of London","E09000012",2020-05-18,5,749
"Hammersmith and Fulham","E09000013",2020-05-18,3,690
"Haringey","E09000014",2020-05-18,0,695
"Harrow","E09000015",2020-05-18,5,1196
"Havering","E09000016",2020-05-18,2,857
"Hillingdon","E09000017",2020-05-18,1,980
"Hounslow","E09000018",2020-05-18,2,936
"Islington","E09000019",2020-05-18,1,504
"Kensington and Chelsea","E09000020",2020-05-18,2,520
"Kingston upon Thames","E09000021",2020-05-18,2,673
"Lambeth","E09000022",2020-05-18,2,1291
"Lewisham","E09000023",2020-05-18,2,1127
"Merton","E09000024",2020-05-18,9,853
"Newham","E09000025",2020-05-18,4,1159
"Redbridge","E09000026",2020-05-18,4,989
"Richmond upon Thames","E09000027",2020-05-18,1,487
"Southwark","E09000028",2020-05-18,2,1381
"Sutton","E09000029",2020-05-18,5,904
"Tower Hamlets","E09000030",2020-05-18,2,726
"Waltham Forest","E09000031",2020-05-18,2,927
"Wandsworth","E09000032",2020-05-18,3,1086
"Westminster","E09000033",2020-05-18,1,709
"Barking and Dagenham","E09000002",2020-05-19,5,646
"Barnet","E09000003",2020-05-19,9,1499
"Bexley","E09000004",2020-05-19,3,941
"Brent","E09000005",2020-05-19,11,1611
"Bromley","E09000006",2020-05-19,5,1451
"Camden","E09000007",2020-05-19,1,660
"Croydon","E09000008",2020-05-19,7,1743
"Ealing","E09000009",2020-05-19,4,1401
"Enfield","E09000010",2020-05-19,8,1105
"Greenwich","E09000011",2020-05-19,5,873
"Hackney and City of London","E09000012",2020-05-19,6,755
"Hammersmith and Fulham","E09000013",2020-05-19,1,691
"Haringey","E09000014",2020-05-19,1,696
"Harrow","E09000015",2020-05-19,4,1200
"Havering","E09000016",2020-05-19,3,860
"Hillingdon","E09000017",2020-05-19,5,985
"Hounslow","E09000018",2020-05-19,1,937
"Islington","E09000019",2020-05-19,3,507
"Kensington and Chelsea","E09000020",2020-05-19,0,520
"Kingston upon Thames","E09000021",2020-05-19,2,675
"Lambeth","E09000022",2020-05-19,2,1293
"Lewisham","E09000023",2020-05-19,4,1131
"Merton","E09000024",2020-05-19,10,863
"Newham","E09000025",2020-05-19,0,1159
"Redbridge","E09000026",2020-05-19,8,997
"Richmond upon Thames","E09000027",2020-05-19,0,487
"Southwark","E09000028",2020-05-19,1,1382
"Sutton","E09000029",2020-05-19,9,913
"Tower Hamlets","E09000030",2020-05-19,2,728
"Waltham Forest","E09000031",2020-05-19,8,935
"Wandsworth","E09000032",2020-05-19,3,1089
